description,bms_show_count,bms_count,paytm_show_count,paytm_amount,source
2022-03-03,2594,31814488,313,5395773,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-03.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-03.csv
2022-03-04,2099,19270717,246,3204978,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-04.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-04.csv
2022-03-05,2349,26295199,260,4040234,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-05.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-05.csv
2022-03-06,2460,30222530,240,3678666,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-06.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-06.csv
2022-03-07,2108,11987316,235,2379145,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-07.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-07.csv
2022-03-08,2115,10149405,235,2051313,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-08.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-08.csv
2022-03-09,2166,8230647,231,1861518,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-09.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-09.csv
2022-03-10,1856,5756741,133,953513,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-10.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-10.csv
2022-03-11,1302,5357914,127,954843,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-11.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-11.csv
2022-03-12,1338,10693552,103,1063141,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-12.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-12.csv
2022-03-13,1416,11853328,116,1041326,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-13.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-13.csv
2022-03-14,1281,3106179,134,697798,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-14.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-14.csv
2022-03-15,1286,2484824,129,793289,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-15.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-15.csv
2022-03-16,1226,1234145,352,1524870,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-16.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-16.csv
2022-03-17,1110,1708203,442,1716771,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-17.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-17.csv
2022-03-18,796,1487974,327,1324355,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-18.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-18.csv
2022-03-19,858,2409524,349,1807240,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-19.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-19.csv
2022-03-20,905,3158669,367,2014682,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-20.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-20.csv
2022-03-21,806,990303,349,1095728,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-21.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-21.csv
2022-03-22,837,947112,363,1330796,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-22.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-22.csv
2022-03-23,850,823948,336,1226221,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-23.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-23.csv
2022-03-24,802,777522,348,1159342,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-24.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-24.csv
2022-03-25,301,445236,148,514065,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-03-25.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-03-25.csv
