description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2022-10-28,792,4969942,252,1689053,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-10-28.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-10-28.csv
2022-10-29,854,8578047,293,2877158,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-10-29.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-10-29.csv
2022-10-30,1024,14688767,368,5088491,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-10-30.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-10-30.csv
2022-10-31,986,7915415,362,2730806,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-10-31.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-10-31.csv
2022-11-01,1028,7385226,369,2788191,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-01.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-01.csv
2022-11-02,1036,6997140,379,2139858,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-02.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-02.csv
2022-11-03,1041,6274381,393,2177881,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-03.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-03.csv
2022-11-04,903,5916826,296,2178191,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-04.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-04.csv
2022-11-05,744,9089640,319,2680814,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-05.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-05.csv
2022-11-06,,,333,3645252,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-06.csv
2022-11-07,720,4558585,,,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-07.csv
2022-11-08,756,4075835,300,1649366,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-08.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-08.csv
2022-11-09,562,2172263,308,1409553,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-09.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-09.csv
2022-11-10,754,2959979,296,1465790,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-10.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-10.csv
2022-11-11,1082,7424166,532,3235238,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-11.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-11.csv
2022-11-12,1192,12903597,601,5835536,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-12.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-12.csv
2022-11-13,1251,12420019,584,5766218,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-13.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-13.csv
2022-11-14,1163,4218235,554,1807889,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-14.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-14.csv
2022-11-15,1210,4073761,569,1838845,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-15.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-15.csv
2022-11-16,1181,3436810,550,1694763,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-16.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-16.csv
2022-11-17,1184,2988606,506,1396253,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-17.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-17.csv
2022-11-18,847,3188851,351,1994762,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-18.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-18.csv
2022-11-19,922,6334391,375,3151325,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-19.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-19.csv
2022-11-20,900,7321889,395,3181040,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-20.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-20.csv
2022-11-21,782,1523837,370,1362781,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-21.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-21.csv
2022-11-22,710,1399481,373,1471090,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-22.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-22.csv
2022-11-23,861,1603315,375,1221328,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-23.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-23.csv
2022-11-24,738,1212990,357,1327590,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-24.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-24.csv
2022-11-25,378,1144603,153,419784,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-25.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-25.csv
2022-11-26,286,1771653,179,906325,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-11-26.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-11-26.csv
