description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2023-01-19,1054,6011241,521,2964380,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-19.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-19.csv
2023-01-20,905,3667923,490,2217887,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-20.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-20.csv
2023-01-21,1066,5411392,582,3129575,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-21.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-21.csv
2023-01-22,895,5090849,600,3217609,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-22.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-22.csv
2023-01-23,991,1913470,519,1494305,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-23.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-23.csv
2023-01-24,620,900693,484,1327256,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-24.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-24.csv
2023-01-25,548,1125098,266,935132,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-25.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-25.csv
2023-01-26,357,1620789,198,757219,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-26.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-26.csv
2023-01-27,306,716081,198,558982,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-27.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-27.csv
2023-01-28,310,1063535,174,716699,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-28.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-28.csv
2023-01-29,305,1091383,183,684443,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-29.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-29.csv
2023-01-30,265,764820,180,511280,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-30.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-30.csv
2023-01-31,243,566052,176,497387,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-01-31.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-01-31.csv
2023-02-01,243,393358,183,518611,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-01.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-01.csv
2023-02-02,243,563662,157,477063,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-02.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-02.csv
2023-02-03,27,48946,18,21190,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-03.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-03.csv
2023-02-04,27,120530,18,84090,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-04.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-04.csv
2023-02-05,33,141465,22,101760,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-05.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-05.csv
2023-02-06,37,28983,22,19980,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-06.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-06.csv
2023-02-07,33,30749,14,23060,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-07.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-07.csv
2023-02-08,34,26734,23,20950,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-08.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-08.csv
2023-02-09,20,22401,13,5625,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-09.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-09.csv
2023-02-10,10,7200,7,3800,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-10.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-10.csv
2023-02-11,13,17550,10,11530,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-11.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-11.csv
2023-02-12,10,21345,3,5260,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-12.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-12.csv
2023-02-13,10,5710,7,6390,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-13.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-13.csv
2023-02-14,10,5030,7,1000,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-14.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-14.csv
2023-02-15,10,4750,7,520,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-15.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-15.csv
2023-02-16,10,3200,7,630,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-16.csv;https://github.com/HedCET/paytm-movies/tree/main/NanpakalNerathuMayakkam/972ae6.2023-02-16.csv
2023-02-17,0,880,,,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-17.csv
2023-02-20,0,110,,,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-20.csv
2023-02-21,0,7700,,,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-21.csv
2023-02-22,0,7700,,,https://github.com/HedCET/bms/tree/main/NanpakalNerathuMayakkam/75ab4f.2023-02-22.csv
