description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2023-01-25,44104,523046034,29648,319511374,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-25.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-25.csv
2023-01-26,42676,681237303,,,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-26.csv
2023-01-27,44664,368391987,28322,192103739,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-27.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-27.csv
2023-01-28,45448,514370241,29530,270955521,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-28.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-28.csv
2023-01-29,45957,596138657,29833,292812741,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-29.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-29.csv
2023-01-30,43445,232197515,28832,125991425,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-30.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-30.csv
2023-01-31,42972,193287278,29798,108077855,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-01-31.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-01-31.csv
2023-02-01,43341,163247612,29782,98425430,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-01.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-01.csv
2023-02-02,43184,144047548,26922,80699621,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-02.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-02.csv
2023-02-03,34165,125168493,22627,63024249,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-03.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-03.csv
2023-02-04,34581,206266547,24157,111500489,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-04.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-04.csv
2023-02-05,36800,253656796,23723,123820791,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-05.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-05.csv
2023-02-06,34677,72712206,22955,47651174,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-06.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-06.csv
2023-02-07,34670,68144517,24446,49640831,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-07.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-07.csv
2023-02-08,34765,64089140,23487,44592185,https://github.com/HedCET/bms/tree/main/Pathaan/75861e.2023-02-08.csv;https://github.com/HedCET/paytm-movies/tree/main/Pathaan/47df2b.2023-02-08.csv
