"SessionId","Capacity","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603108","268","20$ approx","NSW","78","Liverpool","268","Event Cinemas","22.5%","Pathaan - Hindi","Auto","27/01/2023 1:17:09 AM","1560 $","12","Sun 29 January 3:15 PM"
"12603117","288","20$ approx","NSW","61","Liverpool","285","Event Cinemas","17.6%","Pathaan - Hindi","Auto","27/01/2023 1:17:10 AM","1220 $","12","Sun 29 January 6:30 PM"
"12571451","193","20$ approx","NSW","18","Glendale","191","Event Cinemas","8.6%","Pathaan - Hindi","Auto","27/01/2023 1:17:10 AM","360 $","3","Sun 29 January 8:50 PM"
"12595819","204","20$ approx","NSW","107","Castle Hill","202","Event Cinemas","34.6%","Pathaan - Hindi","Auto","27/01/2023 1:17:12 AM","2140 $","2","Sun 29 January 2:40 PM"
"12593800","27","20$ approx","NSW","19","Castle Hill","27","Event Cinemas","41.3%","Pathaan - Hindi","Auto","27/01/2023 1:17:13 AM","380 $","5","Sun 29 January 3:30 PM"
"12595829","247","20$ approx","NSW","64","Castle Hill","245","Event Cinemas","20.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:13 AM","1280 $","2","Sun 29 January 5:50 PM"
"12595834","138","20$ approx","NSW","62","Castle Hill","136","Event Cinemas","31.3%","Pathaan - Hindi","Auto","27/01/2023 1:17:14 AM","1240 $","9","Sun 29 January 6:40 PM"
"12593809","36","20$ approx","NSW","10","Castle Hill","36","Event Cinemas","21.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:15 AM","200 $","1","Sun 29 January 8:50 PM"
"12595842","284","20$ approx","NSW","27","Castle Hill","282","Event Cinemas","8.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:16 AM","540 $","2","Sun 29 January 9:00 PM"
"12595840","133","20$ approx","NSW","10","Castle Hill","131","Event Cinemas","7.1%","Pathaan - Hindi","Auto","27/01/2023 1:17:17 AM","200 $","6","Sun 29 January 9:00 PM"
"12608715","101","20$ approx","NSW","6","Castle Hill","99","Event Cinemas","5.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:18 AM","120 $","10","Sun 29 January 9:00 PM"
"12571428","166","20$ approx","NSW","34","Macquarie Park","164","Event Cinemas","17.2%","Pathaan - Hindi","Auto","27/01/2023 1:17:19 AM","680 $","13","Sun 29 January 5:40 PM"
"12571429","186","20$ approx","NSW","14","Macquarie Park","184","Event Cinemas","7.1%","Pathaan - Hindi","Auto","27/01/2023 1:17:20 AM","280 $","13","Sun 29 January 8:50 PM"
"12598448","102","20$ approx","NSW","34","Burwood","101","Event Cinemas","25.2%","Pathaan - Hindi","Auto","27/01/2023 1:17:20 AM","680 $","11","Sun 29 January 2:00 PM"
"12598464","107","20$ approx","NSW","68","Burwood","105","Event Cinemas","39.3%","Pathaan - Hindi","Auto","27/01/2023 1:17:21 AM","1360 $","3","Sun 29 January 6:00 PM"
"12598474","136","20$ approx","NSW","76","Burwood","131","Event Cinemas","36.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:21 AM","1520 $","8","Sun 29 January 8:15 PM"
"12599004","355","20$ approx","NSW","22","Hornsby","352","Event Cinemas","5.9%","Pathaan - Hindi","Auto","27/01/2023 1:17:22 AM","440 $","5","Sun 29 January 5:40 PM"
"12599015","362","20$ approx","NSW","15","Hornsby","359","Event Cinemas","4%","Pathaan - Hindi","Auto","27/01/2023 1:17:23 AM","300 $","5","Sun 29 January 8:50 PM"
"12600565","116","20$ approx","NSW","81","Campbelltown","114","Event Cinemas","41.5%","Pathaan - Hindi","Auto","27/01/2023 1:17:23 AM","1620 $","6","Sun 29 January 5:50 PM"
"12607761","89","20$ approx","NSW","15","Parramatta","89","Event Cinemas","14.4%","Pathaan - Hindi","Auto","27/01/2023 1:17:24 AM","300 $","1","Sun 29 January 10:10 AM"
"12607762","74","20$ approx","NSW","30","Parramatta","74","Event Cinemas","28.8%","Pathaan - Hindi","Auto","27/01/2023 1:17:24 AM","600 $","1","Sun 29 January 1:20 PM"
"12597701","265","20$ approx","NSW","78","Parramatta","261","Event Cinemas","23%","Pathaan - Hindi","Auto","27/01/2023 1:17:24 AM","1560 $","6","Sun 29 January 2:40 PM"
"12594236","13","20$ approx","NSW","24","Parramatta","13","Event Cinemas","64.9%","Pathaan - Hindi","Auto","27/01/2023 1:17:25 AM","480 $","1","Sun 29 January 5:30 PM"
"12573843","268","20$ approx","NSW","129","Parramatta","261","Event Cinemas","33.1%","Pathaan - Hindi","Auto","27/01/2023 1:17:25 AM","2580 $","1","Sun 29 January 5:45 PM"
"12594240","26","20$ approx","NSW","14","Parramatta","26","Event Cinemas","35%","Pathaan - Hindi","Auto","27/01/2023 1:17:26 AM","280 $","2","Sun 29 January 8:50 PM"
"12573844","308","20$ approx","NSW","89","Parramatta","301","Event Cinemas","22.8%","Pathaan - Hindi","Auto","27/01/2023 1:17:26 AM","1780 $","1","Sun 29 January 9:00 PM"
"12596818","128","20$ approx","NSW","13","Ryde","126","Event Cinemas","9.4%","Pathaan - Hindi","Auto","27/01/2023 1:17:27 AM","260 $","4","Sun 29 January 6:00 PM"
"12607766","130","20$ approx","NSW","11","Ryde","128","Event Cinemas","7.9%","Pathaan - Hindi","Auto","27/01/2023 1:17:28 AM","220 $","4","Sun 29 January 9:05 PM"
"12596578","136","20$ approx","NSW","45","Hurstville","131","Event Cinemas","25.6%","Pathaan - Hindi","Auto","27/01/2023 1:17:28 AM","900 $","3","Sun 29 January 5:30 PM"
"12571438","134","20$ approx","NSW","47","Hurstville","129","Event Cinemas","26.7%","Pathaan - Hindi","Auto","27/01/2023 1:17:29 AM","940 $","3","Sun 29 January 8:50 PM"
"12608707","298","20$ approx","NSW","22","Hurstville","292","Event Cinemas","7%","Pathaan - Hindi","Auto","27/01/2023 1:17:31 AM","440 $","1","Sun 29 January 9:35 PM"
"12601517","234","20$ approx","NSW","18","Tuggerah","229","Event Cinemas","7.3%","Pathaan - Hindi","Auto","27/01/2023 1:17:31 AM","360 $","3","Sun 29 January 9:00 PM"
