"SessionId","SeatsRemaining","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603147","240","20$ approx","NSW","109","Liverpool","236","Event Cinemas","31.6%","Pathaan - Hindi","Auto","30/01/2023 2:25:06 PM","2180 $","11","Mon 30 January 6:00 PM"
"12595865","270","20$ approx","NSW","42","Castle Hill","267","Event Cinemas","13.6%","Pathaan - Hindi","Auto","30/01/2023 2:25:07 PM","840 $","2","Mon 30 January 2:40 PM"
"12595875","270","20$ approx","NSW","41","Castle Hill","268","Event Cinemas","13.3%","Pathaan - Hindi","Auto","30/01/2023 2:25:08 PM","820 $","2","Mon 30 January 5:50 PM"
"12593829","","20$ approx","NSW","0","","0","Event Cinemas","0%","","Auto","30/01/2023 8:13:13 PM","0 $","3",""
"12595092","178","20$ approx","NSW","22","Macquarie Park","176","Event Cinemas","11.1%","Pathaan - Hindi","Auto","30/01/2023 2:25:09 PM","440 $","13","Mon 30 January 5:40 PM"
"12595107","152","20$ approx","NSW","48","Macquarie Park","150","Event Cinemas","24.2%","Pathaan - Hindi","Auto","30/01/2023 8:13:15 PM","960 $","13","Mon 30 January 8:50 PM"
"12599160","41","20$ approx","NSW","97","Burwood","38","Event Cinemas","71.9%","Pathaan - Hindi","Auto","30/01/2023 2:25:10 PM","1940 $","11","Mon 30 January 2:15 PM"
"12599173","50","20$ approx","NSW","122","Burwood","51","Event Cinemas","70.5%","Pathaan - Hindi","Auto","30/01/2023 2:25:10 PM","2440 $","3","Mon 30 January 6:00 PM"
"12599184","30","20$ approx","NSW","186","Burwood","21","Event Cinemas","89.9%","Pathaan - Hindi","Auto","30/01/2023 8:13:15 PM","3720 $","8","Mon 30 January 8:15 PM"
"12599045","150","20$ approx","NSW","10","Hornsby","146","Event Cinemas","6.4%","Pathaan - Hindi","Auto","30/01/2023 2:25:11 PM","200 $","8","Mon 30 January 5:40 PM"
"12599057","120","20$ approx","NSW","42","Hornsby","114","Event Cinemas","26.9%","Pathaan - Hindi","Auto","30/01/2023 8:13:16 PM","840 $","8","Mon 30 January 8:50 PM"
"12600944","124","20$ approx","NSW","73","Campbelltown","122","Event Cinemas","37.4%","Pathaan - Hindi","Auto","30/01/2023 2:25:12 PM","1460 $","6","Mon 30 January 5:50 PM"
"12597721","223","20$ approx","NSW","123","Parramatta","216","Event Cinemas","36.3%","Pathaan - Hindi","Auto","30/01/2023 2:25:13 PM","2460 $","6","Mon 30 January 2:45 PM"
"12594289","6","20$ approx","NSW","33","Parramatta","4","Event Cinemas","89.2%","Pathaan - Hindi","Auto","30/01/2023 2:25:13 PM","660 $","1","Mon 30 January 5:30 PM"
"12609006","227","20$ approx","NSW","172","Parramatta","218","Event Cinemas","44.1%","Pathaan - Hindi","Auto","30/01/2023 2:25:13 PM","3440 $","1","Mon 30 January 5:45 PM"
"12594292","1","20$ approx","NSW","39","Parramatta","1","Event Cinemas","97.5%","Pathaan - Hindi","Auto","30/01/2023 8:13:16 PM","780 $","2","Mon 30 January 8:50 PM"
"12609007","185","20$ approx","NSW","222","Parramatta","168","Event Cinemas","56.9%","Pathaan - Hindi","Auto","30/01/2023 8:13:17 PM","4440 $","1","Mon 30 January 9:00 PM"
"12596855","113","20$ approx","NSW","28","Ryde","111","Event Cinemas","20.1%","Pathaan - Hindi","Auto","30/01/2023 2:25:15 PM","560 $","4","Mon 30 January 6:00 PM"
"12607767","109","20$ approx","NSW","43","Ryde","96","Event Cinemas","30.9%","Pathaan - Hindi","Auto","30/01/2023 8:13:17 PM","860 $","4","Mon 30 January 9:05 PM"
"12609395","109","20$ approx","NSW","74","Hurstville","101","Event Cinemas","42.3%","Pathaan - Hindi","Auto","30/01/2023 2:25:16 PM","1480 $","3","Mon 30 January 2:20 PM"
"12596610","70","20$ approx","NSW","110","Hurstville","65","Event Cinemas","62.9%","Pathaan - Hindi","Auto","30/01/2023 2:25:16 PM","2200 $","3","Mon 30 January 5:40 PM"
"12596618","68","20$ approx","NSW","113","Hurstville","62","Event Cinemas","64.6%","Pathaan - Hindi","Auto","30/01/2023 8:13:18 PM","2260 $","3","Mon 30 January 8:50 PM"
"12608992","157","20$ approx","NSW","173","Hurstville","141","Event Cinemas","55.1%","Pathaan - Hindi","Auto","30/01/2023 8:13:18 PM","3460 $","1","Mon 30 January 9:35 PM"
"12601561","228","20$ approx","NSW","24","Tuggerah","223","Event Cinemas","9.7%","Pathaan - Hindi","Auto","30/01/2023 8:13:19 PM","480 $","3","Mon 30 January 9:00 PM"
"MTDRTT/272486","79","20$ approx","","21","Mt Druitt","75","Hoyts Cinemas","21.9%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 11:41:30 AM","420 $","Xtremescreen 03","30/01/2023 2:45:00 PM"
"MTDRTT/272487","60","20$ approx","","40","Mt Druitt","56","Hoyts Cinemas","41.7%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 5:29:48 PM","800 $","Xtremescreen 03","30/01/2023 6:00:00 PM"
"MTDRTT/272709","35","20$ approx","","25","Mt Druitt","31","Hoyts Cinemas","44.6%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 7:21:30 PM","500 $","Cinema 08","30/01/2023 8:10:00 PM"
"MTDRTT/272488","79","20$ approx","","25","Mt Druitt","71","Hoyts Cinemas","26%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 7:21:31 PM","500 $","Xtremescreen 03","30/01/2023 9:10:00 PM"
"BANKTN/266294","45","20$ approx","","97","Bankstown","41","Hoyts Cinemas","70.3%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 5:29:50 PM","1940 $","Cinema 07","30/01/2023 5:30:00 PM"
"BANKTN/266307","13","20$ approx","","90","Bankstown","12","Hoyts Cinemas","88.2%","Pathaan  (Hindi, Eng Sub)","Auto","30/01/2023 7:21:32 PM","1800 $","Cinema 02","30/01/2023 7:45:00 PM"
