"TotalCost","Mode","SeatsRemaining","LastUpdatedOn","Available","Location","MovieName","CostPerTicket","Brand","State","Showtime","SessionId","Screen","Booked","Occupancy"
"840 $","Auto","246","02/08/2023 04:37:33","236","Liverpool","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 6:30 PM","12614823","10","42","15.1%"
"320 $","Auto","215","02/08/2023 04:37:36","213","Glendale","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:30 PM","12611490","2","16","7%"
"560 $","Auto","375","02/08/2023 09:42:56","372","Glendale","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 9:00 PM","12611501","7","28","7%"
"320 $","Auto","223","02/08/2023 04:37:41","219","Castle Hill","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:30 PM","12617078","4","16","6.8%"
"640 $","Auto","207","02/08/2023 09:42:59","203","Castle Hill","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 8:40 PM","12617086","4","32","13.6%"
"160 $","Auto","385","02/08/2023 04:37:47","381","Macquarie Park","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:50 PM","12610119","4","8","2.1%"
"340 $","Auto","376","02/08/2023 09:43:01","372","Macquarie Park","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 9:00 PM","12610133","4","17","4.4%"
"460 $","Auto","140","02/08/2023 04:37:53","138","Burwood","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:00 PM","12615438","9","23","14.3%"
"780 $","Auto","171","02/08/2023 04:37:55","168","Burwood","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 7:40 PM","12615449","8","39","18.8%"
"180 $","Auto","149","02/08/2023 04:37:58","146","Hornsby","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:40 PM","12611953","8","9","5.8%"
"540 $","Auto","133","02/08/2023 09:43:04","128","Hornsby","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 8:50 PM","12611965","8","27","17.4%"
"560 $","Auto","111","02/08/2023 04:38:03","109","Campbelltown","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 7:00 PM","12618776","8","28","20.4%"
"440 $","Auto","222","02/08/2023 04:38:05","217","Parramatta","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 3:40 PM","12613029","5","22","9.2%"
"520 $","Auto","317","02/08/2023 04:38:08","313","Parramatta","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:30 PM","12613031","6","26","7.7%"
"940 $","Auto","302","02/08/2023 09:43:07","292","Parramatta","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 8:45 PM","12613036","6","47","13.9%"
"480 $","Auto","302","02/08/2023 04:38:12","296","Ryde","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:30 PM","12612892","5","24","7.5%"
"120 $","Auto","135","02/08/2023 09:43:09","133","Ryde","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 9:00 PM","12612902","7","6","4.3%"
"220 $","Auto","169","02/08/2023 04:38:18","164","Hurstville","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 5:30 PM","12611697","3","11","6.3%"
"460 $","Auto","161","02/08/2023 09:43:11","152","Hurstville","Pathaan - Hindi","20$ approx","Event Cinemas","NSW","Wed 08 February 8:40 PM","12611703","3","23","13.1%"
