"SeatsRemaining","SessionId","Location","TotalCost","LastUpdatedOn","Booked","Occupancy","CostPerTicket","Mode","MovieName","Screen","State","Brand","Available","Showtime"
"330","12630877","Liverpool","320 $","02/13/2023 03:36:56","16","4.6%","20$ approx","Auto","Pathaan - Hindi","12","NSW","Event Cinemas","330","Mon 13 February 2:30 PM"
"257","12630888","Liverpool","500 $","02/13/2023 07:38:13","25","9%","20$ approx","Auto","Pathaan - Hindi","10","NSW","Event Cinemas","253","Mon 13 February 6:30 PM"
"215","12626560","Glendale","320 $","02/13/2023 09:29:51","16","7%","20$ approx","Auto","Pathaan - Hindi","2","NSW","Event Cinemas","213","Mon 13 February 9:00 PM"
"56","12624157","Castle Hill","100 $","02/13/2023 08:38:43","5","8.5%","20$ approx","Auto","Pathaan - Hindi","4","NSW","Event Cinemas","54","Mon 13 February 7:20 PM"
"225","12624770","Castle Hill","280 $","02/13/2023 09:29:54","14","6%","20$ approx","Auto","Pathaan - Hindi","4","NSW","Event Cinemas","221","Mon 13 February 8:50 PM"
"291","12627312","Macquarie Park","300 $","02/13/2023 09:29:56","15","5%","20$ approx","Auto","Pathaan - Hindi","1","NSW","Event Cinemas","288","Mon 13 February 9:00 PM"
"140","12632256","Burwood","500 $","02/13/2023 05:28:24","25","15.5%","20$ approx","Auto","Pathaan - Hindi","9","NSW","Event Cinemas","136","Mon 13 February 4:20 PM"
"117","12632268","Burwood","900 $","02/13/2023 08:38:52","45","28%","20$ approx","Auto","Pathaan - Hindi","9","NSW","Event Cinemas","116","Mon 13 February 7:30 PM"
"161","12625854","Hornsby","120 $","02/13/2023 06:38:25","6","3.7%","20$ approx","Auto","Pathaan - Hindi","2","NSW","Event Cinemas","158","Mon 13 February 6:00 PM"
"159","12625862","Hornsby","160 $","02/13/2023 09:29:59","8","4.8%","20$ approx","Auto","Pathaan - Hindi","3","NSW","Event Cinemas","157","Mon 13 February 8:40 PM"
"183","12633649","Campbelltown","280 $","02/13/2023 04:37:42","14","7.2%","20$ approx","Auto","Pathaan - Hindi","6","NSW","Event Cinemas","181","Mon 13 February 3:45 PM"
"112","12633654","Campbelltown","540 $","02/13/2023 07:38:32","27","19.7%","20$ approx","Auto","Pathaan - Hindi","8","NSW","Event Cinemas","110","Mon 13 February 6:40 PM"
"319","12629212","Parramatta","520 $","02/13/2023 07:25:36","26","7.7%","20$ approx","Auto","Pathaan - Hindi","6","NSW","Event Cinemas","313","Mon 13 February 6:10 PM"
"30","12623875","Parramatta","140 $","02/13/2023 09:30:01","7","18.9%","20$ approx","Auto","Pathaan - Hindi","1","NSW","Event Cinemas","30","Mon 13 February 8:45 PM"
"383","12627036","Parramatta","360 $","02/13/2023 09:30:04","18","4.6%","20$ approx","Auto","Pathaan - Hindi","1","NSW","Event Cinemas","372","Mon 13 February 8:50 PM"
"106","12625039","Ryde","140 $","02/13/2023 07:25:42","7","6.3%","20$ approx","Auto","Pathaan - Hindi","6","NSW","Event Cinemas","104","Mon 13 February 6:15 PM"
"142","12626334","Hurstville","380 $","02/13/2023 06:38:42","19","12.3%","20$ approx","Auto","Pathaan - Hindi","3","NSW","Event Cinemas","136","Mon 13 February 6:00 PM"
