"MovieName","Screen","Booked","Occupancy","LastUpdatedOn","Brand","TotalCost","SessionId","CostPerTicket","Location","SeatsRemaining","Mode","Showtime","Available","State"
"Pathaan - Hindi","6","23","16.4%","02/15/2023 09:29:21","Event Cinemas","460 $","12630944","20$ approx","Liverpool","118","Auto","Wed 15 February 8:30 PM","117","NSW"
"Pathaan - Hindi","1","12","4%","02/15/2023 09:29:23","Event Cinemas","240 $","12627412","20$ approx","Macquarie Park","296","Auto","Wed 15 February 9:00 PM","291","NSW"
"Pathaan - Hindi","9","27","16.8%","02/15/2023 08:38:05","Event Cinemas","540 $","12632356","20$ approx","Burwood","135","Auto","Wed 15 February 7:30 PM","134","NSW"
"Pathaan - Hindi","8","13","8.4%","02/15/2023 06:36:40","Event Cinemas","260 $","12625921","20$ approx","Hornsby","148","Auto","Wed 15 February 5:40 PM","142","NSW"
"Pathaan - Hindi","3","14","8.5%","02/15/2023 09:29:25","Event Cinemas","280 $","12625931","20$ approx","Hornsby","155","Auto","Wed 15 February 8:45 PM","151","NSW"
"Pathaan - Hindi","7","17","12.4%","02/15/2023 09:29:26","Event Cinemas","340 $","12633711","20$ approx","Campbelltown","122","Auto","Wed 15 February 9:00 PM","120","NSW"
"Pathaan - Hindi","6","17","5%","02/15/2023 07:25:29","Event Cinemas","340 $","12629248","20$ approx","Parramatta","326","Auto","Wed 15 February 6:10 PM","322","NSW"
"Pathaan - Hindi","6","19","5.6%","02/15/2023 09:29:28","Event Cinemas","380 $","12629255","20$ approx","Parramatta","328","Auto","Wed 15 February 9:10 PM","320","NSW"
"Pathaan - Hindi","8","7","5%","02/15/2023 09:29:30","Event Cinemas","140 $","12625110","20$ approx","Ryde","134","Auto","Wed 15 February 9:00 PM","132","NSW"
"Pathaan - Hindi","7","12","9.2%","02/15/2023 09:29:31","Event Cinemas","240 $","12626833","20$ approx","Hurstville","124","Auto","Wed 15 February 8:50 PM","119","NSW"
