"MovieName","Mode","LastUpdatedOn","Occupancy","Brand","SessionId","State","CostPerTicket","Screen","SeatsRemaining","TotalCost","Showtime","Booked","Available","Location"
"Pathaan - Hindi","Auto","02/16/2023 04:37:06","8.2%","Event Cinemas","12645209","NSW","20$ approx","5","148","260 $","Thu 16 February 3:45 PM","13","146","Liverpool"
"Pathaan - Hindi","Auto","02/16/2023 04:37:09","7.2%","Event Cinemas","12645212","NSW","20$ approx","10","262","400 $","Thu 16 February 3:45 PM","20","258","Liverpool"
"Pathaan - Hindi","Auto","02/16/2023 06:37:34","10.5%","Event Cinemas","12645213","NSW","20$ approx","7","146","340 $","Thu 16 February 5:45 PM","17","145","Liverpool"
"Pathaan - Hindi","Auto","02/16/2023 08:37:29","9.3%","Event Cinemas","12645217","NSW","20$ approx","7","148","300 $","Thu 16 February 9:00 PM","15","147","Liverpool"
"Pathaan - Hindi","Auto","02/16/2023 06:37:38","5.7%","Event Cinemas","12640491","NSW","20$ approx","8","135","160 $","Thu 16 February 6:00 PM","8","132","Castle Hill"
"Pathaan - Hindi","Auto","02/16/2023 08:37:31","8.5%","Event Cinemas","12640496","NSW","20$ approx","7","132","240 $","Thu 16 February 8:30 PM","12","129","Castle Hill"
"Pathaan - Hindi","Auto","02/16/2023 04:37:18","13.3%","Event Cinemas","12641945","NSW","20$ approx","11","118","360 $","Thu 16 February 3:20 PM","18","117","Burwood"
"Pathaan - Hindi","Auto","02/16/2023 08:37:32","18.5%","Event Cinemas","12641960","NSW","20$ approx","11","114","500 $","Thu 16 February 9:00 PM","25","110","Burwood"
"Pathaan - Hindi","Auto","02/16/2023 04:37:21","8.4%","Event Cinemas","12645013","NSW","20$ approx","8","145","260 $","Thu 16 February 3:20 PM","13","142","Hornsby"
"Pathaan - Hindi","Auto","02/16/2023 08:37:34","3.7%","Event Cinemas","12645025","NSW","20$ approx","9","160","120 $","Thu 16 February 8:45 PM","6","157","Hornsby"
"Pathaan - Hindi","Auto","02/16/2023 06:37:45","13.1%","Event Cinemas","12644732","NSW","20$ approx","7","121","360 $","Thu 16 February 5:50 PM","18","119","Campbelltown"
"Pathaan - Hindi","Auto","02/16/2023 08:37:36","13.1%","Event Cinemas","12644736","NSW","20$ approx","7","121","360 $","Thu 16 February 9:00 PM","18","119","Campbelltown"
"Pathaan - Hindi","Auto","02/16/2023 03:33:52","3.2%","Event Cinemas","12643913","NSW","20$ approx","6","332","220 $","Thu 16 February 2:45 PM","11","328","Parramatta"
"Pathaan - Hindi","Auto","02/16/2023 06:37:48","4.7%","Event Cinemas","12643917","NSW","20$ approx","6","328","320 $","Thu 16 February 5:50 PM","16","323","Parramatta"
"Pathaan - Hindi","Auto","02/16/2023 08:37:37","3.5%","Event Cinemas","12643922","NSW","20$ approx","6","333","240 $","Thu 16 February 9:00 PM","12","327","Parramatta"
"Pathaan - Hindi","Auto","02/16/2023 07:38:21","12.9%","Event Cinemas","12639336","NSW","20$ approx","3","140","400 $","Thu 16 February 6:20 PM","20","135","Hurstville"
