"SessionId","Capacity","CostPerTicket","State","Booked","Location","Available","Brand","Occupancy","MovieName","Mode","LastUpdatedOn","TotalCost","Screen","Showtime"
"12603112","264","20$ approx","NSW",,"Liverpool",,"Event Cinemas","6.5%","Thankam","Auto","27/01/2023 12:48:11 AM","360 $","9","Sun 29 January 4:00 PM"
"12603120","264","20$ approx","NSW",,"Liverpool",,"Event Cinemas","6.5%","Thankam","Auto","27/01/2023 12:48:11 AM","360 $","10","Sun 29 January 7:00 PM"
"12597702","191","20$ approx","NSW",,"Parramatta",,"Event Cinemas","2.1%","Thankam","Auto","27/01/2023 12:48:12 AM","80 $","2","Sun 29 January 3:15 PM"
"12597710","191","20$ approx","NSW",,"Parramatta",,"Event Cinemas","2.1%","Thankam","Auto","27/01/2023 12:48:12 AM","80 $","2","Sun 29 January 9:00 PM"
"12598476","93","20$ approx","NSW",,"Burwood",,"Event Cinemas","8%","Thankam","Auto","27/01/2023 12:48:13 AM","160 $","12","Sun 29 January 9:00 PM"
"123456789","93","20$ approx","NSW","8","Burwood","92","Event Cinemas","8%","Thankam","Auto","27/01/2023 12:17:04 AM","160 $","12","Sun 29 January 9:00 PM"
"12603112","264","20$ approx","NSW",,"Liverpool",,"Event Cinemas","6.5%","Thankam","Auto","27/01/2023 12:48:11 AM","360 $","9","Sun 29 January 4:00 PM"
"12603120","264","20$ approx","NSW",,"Liverpool",,"Event Cinemas","6.5%","Thankam","Auto","27/01/2023 12:48:11 AM","360 $","10","Sun 29 January 7:00 PM"
"12597702","191","20$ approx","NSW",,"Parramatta",,"Event Cinemas","2.1%","Thankam","Auto","27/01/2023 12:48:12 AM","80 $","2","Sun 29 January 3:15 PM"
"12597710","191","20$ approx","NSW",,"Parramatta",,"Event Cinemas","2.1%","Thankam","Auto","27/01/2023 12:48:12 AM","80 $","2","Sun 29 January 9:00 PM"
"12598476","93","20$ approx","NSW",,"Burwood",,"Event Cinemas","8%","Thankam","Auto","27/01/2023 12:48:13 AM","160 $","12","Sun 29 January 9:00 PM"
