description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2023-01-26,1067,4870390,,,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-26.csv
2023-01-27,1039,3340443,444,1678635,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-27.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-01-27.csv
2023-01-28,1017,4825282,411,1983537,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-28.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-01-28.csv
2023-01-29,1028,5187129,420,1913108,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-29.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-01-29.csv
2023-01-30,939,2028438,430,1512086,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-30.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-01-30.csv
2023-01-31,873,1880272,405,1445623,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-01-31.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-01-31.csv
2023-02-01,911,1703487,413,1538244,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-01.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-01.csv
2023-02-02,888,1712018,375,1230678,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-02.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-02.csv
2023-02-03,295,1022420,160,355405,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-03.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-03.csv
2023-02-04,289,1280521,159,573602,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-04.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-04.csv
2023-02-05,316,1510959,158,626007,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-05.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-05.csv
2023-02-06,300,482643,169,358386,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-06.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-06.csv
2023-02-07,264,446723,158,316323,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-07.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-07.csv
2023-02-08,258,467665,173,297741,https://github.com/HedCET/bms/tree/main/Thankam/f75a2f.2023-02-08.csv;https://github.com/HedCET/paytm-movies/tree/main/Thankam/6d8a73.2023-02-08.csv
